Função = 1


h = 1

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 1, 1, 1, 1, 1, 1, 1
1, 0.286505, -0.5, 0.375, 0.369792, 0.427366, 0.369792, 0.427366
2, 2.71828, -0.25, 0.890625, 2.41328, 2.14622, 2.41328, 2.14622


h = 0.5

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 1, 1, 1, 1, 1, 1, 1
0.5, 0.479805, 0.25, 0.539062, 0.471537, 0.507229, 0.471537, 0.507229
1, 0.286505, 0.078125, 0.332703, 0.287046, 0.313596, 0.287046, 0.313596
1.5, 0.373673, 0.0585938, 0.408081, 0.386868, 0.397093, 0.371394, 0.397093
2, 2.71828, 0.113525, 1.88418, 2.37924, 2.1749, 1.96278, 2.13978


h = 0.25

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 1, 1, 1, 1, 1, 1, 1
0.25, 0.687961, 0.625, 0.696533, 0.687237, 0.691857, 0.687237, 0.691857
0.5, 0.479805, 0.393066, 0.492003, 0.478942, 0.485299, 0.478942, 0.485299
0.75, 0.351376, 0.25795, 0.363927, 0.350763, 0.35723, 0.351447, 0.35723
1, 0.286505, 0.188424, 0.298268, 0.286366, 0.292184, 0.287269, 0.291398
1.25, 0.282339, 0.164871, 0.294408, 0.282881, 0.287816, 0.284258, 0.287723
1.5, 0.373673, 0.183548, 0.387902, 0.375437, 0.377872, 0.377934, 0.381452
1.75, 0.755577, 0.269586, 0.753668, 0.756411, 0.739847, 0.758522, 0.764729
2, 2.71828, 0.529695, 2.32044, 2.61001, 2.40753, 2.54415, 2.58044


Função = 2


h = 0.5

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 0, 1, 1, 1, 1, 1, 1
0.5, 0, 1.5, 2.16856, 2.24222, 2.1959, 2.24222, 2.1959
1, 0, 3.33712, 5.88831, 6.19091, 6.01331, 6.19091, 6.01331


h = 0.25

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 0, 1, 1, 1, 1, 1, 1
0.25, 0, 1.25, 1.40451, 1.41043, 1.40531, 1.41043, 1.40531
0.5, 0, 1.80902, 2.23073, 2.24949, 2.23428, 2.24949, 2.23428
0.75, 0, 2.81776, 3.70609, 3.75094, 3.71763, 3.75333, 3.71763
1, 0, 4.49638, 6.15178, 6.24236, 6.17979, 6.24951, 6.2024

h = 0.125

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 0, 1, 1, 1, 1, 1, 1
0.125, 0, 1.125, 1.16194, 1.1624, 1.16187, 1.1624, 1.16187
0.25, 0, 1.32387, 1.40898, 1.41022, 1.40887, 1.41022, 1.40887
0.375, 0, 1.61152, 1.76143, 1.76397, 1.76142, 1.76412, 1.76142
0.5, 0, 2.00823, 2.2454, 2.24999, 2.24574, 2.25037, 2.24716
0.625, 0, 2.53965, 2.89288, 2.90051, 2.89395, 2.90118, 2.89742
0.75, 0, 3.23686, 3.74171, 3.7536, 3.744, 3.75465, 3.75025
0.875, 0, 4.13642, 4.83561, 4.8532, 4.83971, 4.85474, 4.8496
1, 0, 5.28045, 6.22416, 6.2491, 6.23078, 6.25124, 6.24528


Função = 3


h = 1


-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 0, 1, 1, 1, 1, 1, 1
1, 0, -1, 1.5, -0.166667, 0.796296, -0.166667, 0.796296
2, 0, 2, 3, 1.22222, 1.68313, 1.22222, 1.68313

h = 0.5

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 0, 1, 1, 1, 1, 1, 1
0.5, 0, 0, 0.5625, 0.364583, 0.465856, 0.364583, 0.465856
1, 0, 0.125, 0.53125, 0.319444, 0.414697, 0.319444, 0.414697
1.5, 0, 0.5, 0.828125, 0.637731, 0.713851, 0.691744, 0.713851
2, 0, 1.125, 1.41406, 1.24383, 1.3062, 1.30654, 1.27142

h = 0.125

-, Solution, Euler, RK 2,  RK 3, RK 4, Adams 3, Adams 4
ti, f(ti) 
0, 0, 1, 1, 1, 1, 1, 1
0.25, 0, 0.5, 0.632812, 0.608724, 0.620244, 0.608724, 0.620244
0.5, 0, 0.265625, 0.430664, 0.397719, 0.412971, 0.397719, 0.412971
0.75, 0, 0.195312, 0.355103, 0.320366, 0.335887, 0.324257, 0.335887
1, 0, 0.238281, 0.382095, 0.348503, 0.362963, 0.35367, 0.358099
1.25, 0, 0.369141, 0.496622, 0.465111, 0.478179, 0.469966, 0.471136
1.5, 0, 0.575195, 0.689295, 0.659911, 0.671674, 0.664137, 0.66442
1.75, 0, 0.850098, 0.954247, 0.926691, 0.937381, 0.930307, 0.930005
2, 0, 1.19067, 1.28781, 1.2617, 1.27156, 1.26479, 1.26425
